Datetime,value,median,mad,lower_bound,upper_bound,anomaly
2011-01-02 01:00:00,1568.0,1568.0,0.0,1568.0,1568.0,False
2011-01-02 02:00:00,1409.0,1488.5,79.5,1250.0,1727.0,False
2011-01-02 03:00:00,1365.0,1409.0,44.0,1277.0,1541.0,False
2011-01-02 04:00:00,1506.0,1457.5,70.5,1246.0,1669.0,False
2011-01-02 05:00:00,1467.0,1467.0,58.0,1293.0,1641.0,False
2011-01-02 06:00:00,1509.0,1486.5,50.0,1336.5,1636.5,False
2011-01-02 07:00:00,1403.0,1467.0,58.0,1293.0,1641.0,False
2011-01-02 08:00:00,1429.0,1448.0,51.5,1293.5,1602.5,False
2011-01-02 09:00:00,1280.0,1429.0,64.0,1237.0,1621.0,False
2011-01-02 10:00:00,1164.0,1419.0,70.5,1207.5,1630.5,True
2011-01-02 11:00:00,820.0,1409.0,97.0,1118.0,1700.0,True
2011-01-02 12:00:00,540.0,1406.0,101.5,1101.5,1710.5,True
2011-01-02 13:00:00,345.0,1403.0,106.0,1085.0,1721.0,True
2011-01-02 14:00:00,280.0,1384.0,123.5,1013.5,1754.5,True
2011-01-02 15:00:00,273.0,1365.0,144.0,933.0,1797.0,True
2011-01-02 16:00:00,45.0,1322.5,185.0,767.5,1877.5,True
2011-01-02 17:00:00,-59.0,1280.0,229.0,593.0,1967.0,True
2011-01-02 18:00:00,5.0,1222.0,316.5,272.5,2171.5,True
2011-01-02 19:00:00,176.0,1164.0,345.0,129.0,2199.0,False
2011-01-02 20:00:00,255.0,992.0,515.5,-554.5,2538.5,False
2011-01-02 21:00:00,219.0,820.0,589.0,-947.0,2587.0,False
2011-01-02 22:00:00,176.0,680.0,617.5,-1172.5,2532.5,False
2011-01-02 23:00:00,22.0,540.0,535.0,-1065.0,2145.0,False
2011-01-03 00:00:00,-116.0,442.5,469.5,-966.0,1851.0,False
2011-01-03 01:00:00,-302.0,345.0,461.0,-1038.0,1728.0,False
2011-01-03 02:00:00,-188.0,312.5,464.5,-1081.0,1706.0,False
2011-01-03 03:00:00,-97.0,280.0,396.0,-908.0,1468.0,False
2011-01-03 04:00:00,-82.0,276.5,383.0,-872.5,1425.5,False
2011-01-03 05:00:00,38.0,273.0,370.0,-837.0,1383.0,False
2011-01-03 06:00:00,220.0,264.0,353.5,-796.5,1324.5,False
2011-01-03 07:00:00,750.0,273.0,370.0,-837.0,1383.0,False
2011-01-03 08:00:00,1474.0,276.5,383.0,-872.5,1425.5,True
2011-01-03 09:00:00,1977.0,280.0,396.0,-908.0,1468.0,True
2011-01-03 10:00:00,1848.0,312.5,433.0,-986.5,1611.5,True
2011-01-03 11:00:00,1762.0,345.0,461.0,-1038.0,1728.0,True
2011-01-03 12:00:00,1584.0,442.5,549.0,-1204.5,2089.5,False
2011-01-03 13:00:00,1446.0,540.0,637.0,-1371.0,2451.0,False
2011-01-03 14:00:00,1373.0,645.0,723.5,-1525.5,2815.5,False
2011-01-03 15:00:00,1406.0,750.0,696.0,-1338.0,2838.0,False
2011-01-03 16:00:00,1527.0,785.0,671.5,-1229.5,2799.5,False
2011-01-03 17:00:00,1520.0,820.0,647.0,-1121.0,2761.0,False
2011-01-03 18:00:00,1277.0,992.0,619.5,-866.5,2850.5,False
2011-01-03 19:00:00,1032.0,1032.0,552.0,-624.0,2688.0,False
2011-01-03 20:00:00,756.0,926.0,621.5,-938.5,2790.5,False
2011-01-03 21:00:00,656.0,820.0,644.0,-1112.0,2752.0,False
2011-01-03 22:00:00,486.0,788.0,631.0,-1105.0,2681.0,False
2011-01-03 23:00:00,339.0,756.0,653.0,-1203.0,2715.0,False
2011-01-04 00:00:00,101.0,753.0,654.5,-1210.5,2716.5,False
2011-01-04 01:00:00,44.0,750.0,659.0,-1227.0,2727.0,False
2011-01-04 02:00:00,-68.0,703.0,675.5,-1323.5,2729.5,False
2011-01-04 03:00:00,-108.0,656.0,709.0,-1471.0,2783.0,False
2011-01-04 04:00:00,-121.0,598.0,679.5,-1440.5,2636.5,False
2011-01-04 05:00:00,-134.0,540.0,637.0,-1371.0,2451.0,False
2011-01-04 06:00:00,-70.0,513.0,615.5,-1333.5,2359.5,False
2011-01-04 07:00:00,-33.0,486.0,583.0,-1263.0,2235.0,False
2011-01-04 08:00:00,216.0,415.5,518.0,-1138.5,1969.5,False
2011-01-04 09:00:00,353.0,353.0,461.0,-1030.0,1736.0,False
2011-01-04 10:00:00,432.0,392.5,482.0,-1053.5,1838.5,False
2011-01-04 11:00:00,487.0,432.0,514.0,-1110.0,1974.0,False
2011-01-04 12:00:00,595.0,459.0,535.0,-1146.0,2064.0,False
2011-01-04 13:00:00,650.0,486.0,554.0,-1176.0,2148.0,False
2011-01-04 14:00:00,659.0,486.5,550.0,-1163.5,2136.5,False
2011-01-04 15:00:00,681.0,487.0,546.0,-1151.0,2125.0,False
