Datetime,value,median,mad,lower_bound,upper_bound,anomaly
2011-01-01 02:00:00,-358.0,-358.0,0.0,-358.0,-358.0,False
2011-01-01 03:00:00,-262.0,-310.0,48.0,-454.0,-166.0,False
2011-01-01 04:00:00,-270.0,-270.0,8.0,-294.0,-246.0,False
2011-01-01 05:00:00,-47.0,-266.0,48.0,-410.0,-122.0,True
2011-01-01 06:00:00,17.0,-262.0,96.0,-550.0,26.0,False
2011-01-01 07:00:00,232.0,-154.5,143.5,-585.0,276.0,False
2011-01-01 08:00:00,279.0,-47.0,223.0,-716.0,622.0,False
2011-01-01 09:00:00,208.0,-15.0,247.0,-756.0,726.0,False
2011-01-01 10:00:00,240.0,17.0,223.0,-652.0,686.0,False
2011-01-01 11:00:00,455.0,112.5,163.0,-376.5,601.5,False
2011-01-01 12:00:00,413.0,208.0,205.0,-407.0,823.0,False
2011-01-01 13:00:00,244.0,220.0,198.0,-374.0,814.0,False
2011-01-01 14:00:00,79.0,208.0,191.0,-365.0,781.0,False
2011-01-01 15:00:00,-77.0,143.5,163.0,-345.5,632.5,False
2011-01-01 16:00:00,144.0,144.0,135.0,-261.0,549.0,False
2011-01-01 17:00:00,205.0,174.5,131.0,-218.5,567.5,False
2011-01-01 18:00:00,791.0,205.0,188.0,-359.0,769.0,True
2011-01-01 19:00:00,741.0,206.5,198.0,-387.5,800.5,False
2011-01-01 20:00:00,36.0,205.0,188.0,-359.0,769.0,False
2011-01-01 21:00:00,-71.0,174.5,189.5,-394.0,743.0,False
2011-01-01 22:00:00,-117.0,144.0,191.0,-429.0,717.0,False
2011-01-01 23:00:00,-261.0,111.5,175.0,-413.5,636.5,False
2011-01-02 00:00:00,-474.0,79.0,165.0,-416.0,574.0,True
2011-01-02 01:00:00,-579.0,57.5,184.5,-496.0,611.0,True
2011-01-02 02:00:00,-517.0,36.0,208.0,-588.0,660.0,False
2011-01-02 03:00:00,-306.0,26.5,235.0,-678.5,731.5,False
2011-01-02 04:00:00,-129.0,17.0,227.0,-664.0,698.0,False
2011-01-02 05:00:00,-86.0,-15.0,247.0,-756.0,726.0,False
2011-01-02 06:00:00,59.0,17.0,223.0,-652.0,686.0,False
2011-01-02 07:00:00,126.0,26.5,209.5,-602.0,655.0,False
2011-01-02 08:00:00,305.0,36.0,204.0,-576.0,648.0,False
2011-01-02 09:00:00,59.0,47.5,188.5,-518.0,613.0,False
2011-01-02 10:00:00,124.0,59.0,181.0,-484.0,602.0,False
2011-01-02 11:00:00,111.0,59.0,178.5,-476.5,594.5,False
2011-01-02 12:00:00,133.0,59.0,176.0,-469.0,587.0,False
2011-01-02 13:00:00,49.0,59.0,174.5,-464.5,582.5,False
