Datetime,value,median,mad,lower_bound,upper_bound,anomaly
2011-01-08 01:00:00,2413.0,2413.0,0.0,2413.0,2413.0,False
2011-01-08 02:00:00,2221.0,2317.0,96.0,2029.0,2605.0,False
2011-01-08 03:00:00,2207.0,2221.0,14.0,2179.0,2263.0,False
2011-01-08 04:00:00,2294.0,2257.5,43.5,2127.0,2388.0,False
2011-01-08 05:00:00,2295.0,2294.0,73.0,2075.0,2513.0,False
2011-01-08 06:00:00,2314.0,2294.5,46.5,2155.0,2434.0,False
2011-01-08 07:00:00,2383.0,2295.0,74.0,2073.0,2517.0,False
2011-01-08 08:00:00,2535.0,2304.5,81.0,2061.5,2547.5,False
2011-01-08 09:00:00,2561.0,2314.0,93.0,2035.0,2593.0,False
2011-01-08 10:00:00,2494.0,2348.5,96.0,2060.5,2636.5,False
2011-01-08 11:00:00,2190.0,2314.0,99.0,2017.0,2611.0,False
2011-01-08 12:00:00,1838.0,2304.5,103.0,1995.5,2613.5,True
2011-01-08 13:00:00,1526.0,2295.0,105.0,1980.0,2610.0,True
2011-01-08 14:00:00,1290.0,2294.5,111.5,1960.0,2629.0,True
2011-01-08 15:00:00,1135.0,2294.0,119.0,1937.0,2651.0,True
2011-01-08 16:00:00,789.0,2257.5,196.0,1669.5,2845.5,True
2011-01-08 17:00:00,617.0,2221.0,273.0,1402.0,3040.0,True
2011-01-08 18:00:00,392.0,2214.0,300.5,1312.5,3115.5,True
2011-01-08 19:00:00,547.0,2207.0,328.0,1223.0,3191.0,True
2011-01-08 20:00:00,495.0,2198.5,348.5,1153.0,3244.0,True
2011-01-08 21:00:00,474.0,2190.0,352.0,1134.0,3246.0,True
2011-01-08 22:00:00,384.0,2014.0,504.5,500.5,3527.5,True
2011-01-08 23:00:00,355.0,1838.0,656.0,-130.0,3806.0,False
2011-01-09 00:00:00,233.0,1682.0,771.5,-632.5,3996.5,False
2011-01-09 01:00:00,270.0,1526.0,887.0,-1135.0,4187.0,False
2011-01-09 02:00:00,254.0,1408.0,909.5,-1320.5,4136.5,False
2011-01-09 03:00:00,258.0,1290.0,931.0,-1503.0,4083.0,False
2011-01-09 04:00:00,284.0,1212.5,948.5,-1633.0,4058.0,False
2011-01-09 05:00:00,317.0,1135.0,865.0,-1460.0,3730.0,False
2011-01-09 06:00:00,279.0,962.0,698.0,-1132.0,3056.0,False
2011-01-09 07:00:00,324.0,789.0,531.0,-804.0,2382.0,False
2011-01-09 08:00:00,304.0,703.0,447.0,-638.0,2044.0,False
2011-01-09 09:00:00,343.0,617.0,363.0,-472.0,1706.0,False
